# Each row is C_{\ell}^{kg} between 2MPZ map and 100 Planck simulations 2015
-5.992709723159616834e-07 2.761912664274858025e-07 -1.090491893164750771e-07 -2.067692149202281336e-07 -1.257859053966189573e-08 1.405756397876764137e-07 -3.702895211401202915e-08 4.222429266757995334e-08 -8.819315115209655084e-08 1.709315919412295857e-07 5.114633985313091518e-08 6.607807803313761920e-08
-6.743818585256954322e-07 6.996262439202603771e-07 -8.359335918491997616e-08 -1.702057319470774505e-07 3.609105988659040266e-08 -4.909278191903586432e-08 6.595142613041131301e-08 -1.173755043880585552e-07 -1.133803143459517022e-08 2.875209835469292990e-10 -8.004781790832971840e-08 5.773113418219578173e-09
7.461362666190813369e-07 4.732170750197072032e-07 -1.330316979798682894e-07 1.192055931967920991e-07 9.968608997435977566e-09 1.032722814849145172e-07 2.842571280735298995e-09 -3.107724397721935260e-08 7.716676704038137650e-08 -6.025399161957353717e-08 3.290242188194122405e-08 1.026250883162122577e-07
6.701433419598192359e-07 -9.194043130058422136e-07 -6.106772634841368853e-08 8.644147286399360859e-08 -4.167890687757334419e-08 4.891354284937924510e-08 7.934288903702138038e-08 -3.339317742331941950e-08 -5.611620217731046157e-08 -1.515429703812035047e-08 -6.457313423288824250e-10 7.658334088669897817e-08
-4.059972356696098109e-08 4.858685130869101877e-08 3.607159508774785302e-07 -1.378376530134886077e-07 -1.048352346249313005e-07 -1.122440365360906536e-07 3.074014389622474158e-08 -2.330337052114313708e-07 -3.921447284335184252e-08 4.828209622489692152e-08 -1.164687001505808777e-07 1.135131694708373553e-07
-4.904644689230480867e-07 -1.059339145073519499e-07 2.134044168553685951e-07 8.978421613085192065e-08 -6.480569362858274268e-08 -1.253044373874916514e-07 -3.988847113466704106e-09 1.600841323301331774e-07 2.719487051687782605e-08 -1.274480821286947421e-07 -4.451490607516111294e-08 -4.555870311520743681e-09
4.751821778404278437e-07 -3.018293278783142883e-07 2.103080720364121227e-07 3.549949688073332937e-08 -7.059150866430948092e-08 -1.642426117737145848e-07 6.015442998472374287e-08 9.534442301050160297e-08 -8.368192678081125373e-08 -9.445059550874445211e-09 -6.035245740553581718e-08 -6.185508685857010637e-08
-5.686057728052470349e-07 -3.356635141507927934e-07 2.543547969363220301e-08 1.365739432267688726e-07 -1.190927080129744331e-07 -5.632350680129684409e-08 -3.031949933280488829e-08 -3.424942187289617486e-08 -5.669048904190999953e-09 3.932377606380428870e-08 -4.231722158280828728e-08 4.764177413057332154e-09
2.011920617061894756e-07 7.343450326138834087e-07 4.778800386534028241e-07 -8.994801006715305235e-08 -1.200534854752433551e-07 1.224470725068026104e-07 -2.973492280689885815e-08 3.174830901289601379e-08 -5.065717473308637517e-09 -6.175421826821661734e-08 -4.514633971533335784e-08 -6.857209492545979108e-08
2.840429772900269866e-07 4.522944044687429208e-07 2.348400706012214644e-07 1.826833515314833411e-07 9.106895150436816462e-08 -7.590658138222329465e-08 -1.165677534065736650e-09 1.304335262329894779e-07 -7.302545164771122067e-08 8.244684510780195326e-08 6.592120525171553476e-08 8.018853607237720700e-08
-1.295829993283799876e-06 -2.014997699970041079e-07 1.967253195761510717e-07 -1.123344605466358687e-07 -5.598797362689569456e-08 1.035302306087874096e-07 6.861203363658805470e-08 -2.026711417690381575e-08 -3.836404636132221926e-08 -5.647449251797872246e-09 2.843644199327777706e-08 8.669289063730519943e-08
-7.032525968399474052e-07 -5.571767688893846400e-07 -3.048192743766685232e-07 -8.088508909923988019e-09 -1.133441392278617595e-08 1.514691121239344468e-07 5.894918981249404527e-08 -6.972068284236948226e-09 5.315013668563485561e-08 -6.441883119826376787e-09 -6.588026577106070279e-09 -1.978481069713515228e-07
-1.104678841703553818e-06 3.432455023980799637e-07 -7.740684515098472775e-08 1.059865783192239662e-07 -5.790949811385433647e-08 3.745487191439251657e-08 1.404333773064164868e-07 6.964016974440638028e-08 -7.370951474304411542e-08 3.278252713521691309e-08 -4.761416262789816926e-09 -6.410596316718761779e-08
-2.975600882908255602e-07 2.938312696964000776e-07 9.514854922255404797e-08 -4.284225954629716232e-08 1.602962840064968678e-07 -1.051078525225461227e-07 -2.118825650608806246e-09 9.145171208489885820e-08 3.202818903422814945e-08 5.436964778920024393e-08 -1.677673780365356188e-08 -8.172148791779325984e-08
-3.769947795910539932e-07 -3.496775473512985379e-07 -6.778260115918269075e-08 4.582262127708713623e-08 3.898122135218569609e-08 -5.743442084045280310e-08 2.776211002740669204e-07 9.193508683395247219e-08 1.078165624932172908e-08 7.831210704580569991e-08 6.748179860686742585e-08 9.782345073506336389e-08
-1.808810084021449782e-07 -3.531330388507562876e-07 -8.664119188173818276e-08 2.088135271241337482e-07 -6.505139031784746228e-08 2.699686010263615005e-07 2.096760907400401260e-07 1.086299177275968455e-07 -6.117212678788713189e-08 -5.481430255824061150e-08 1.315700495114785112e-09 1.640132573088728673e-08
5.492348653610930250e-07 -2.108303061943311039e-07 3.383401362366684844e-07 -7.574741700742521043e-08 4.476737614066268573e-08 1.963241972144673177e-09 1.068888002579508486e-07 -2.804675127811968206e-09 -1.362534537633890506e-07 8.202723084795801090e-08 -6.357919257707289097e-08 2.877351578783263437e-08
8.222141266978283453e-07 -1.434711153387768045e-07 2.599629616535022778e-07 3.399420594436303726e-08 -1.038702553962517155e-07 5.183085028233352610e-08 1.526549449427248746e-08 -1.093266931108225565e-07 5.374321905511499844e-08 1.505448758035441439e-08 -9.180890393572287014e-10 -3.465397819628335523e-08
-1.253878577872722691e-06 2.402051983090981012e-07 -1.991230726262236064e-07 -1.812327451039258542e-07 -2.381719895500257511e-07 5.663189775688122963e-08 -2.707930481347065781e-08 -5.988294688110439453e-08 -7.023057476710984844e-08 4.084137298070935867e-08 -1.534199897754621645e-09 1.856380187592884371e-08
-2.614092798022711616e-07 1.146288029139122303e-07 -5.177087920915552159e-08 -1.244838452436242367e-07 4.663379060013143103e-08 -1.652118795589646339e-08 -7.578238755620183977e-08 1.013325366073050828e-07 -2.548085178854822447e-08 -1.444899272626080792e-10 3.755528661762606394e-08 -3.035324317396118016e-08
-4.951497571232043324e-07 -1.254381136813697150e-07 -4.843507678050552474e-08 5.919376833018995934e-08 -1.834216416852202540e-07 1.345334448876846792e-07 -1.929715526933754186e-08 7.483079016716695104e-08 8.676639863004188185e-09 -6.897862379499039005e-08 4.316492559641929974e-08 -3.988727604856434987e-08
6.127367838254354035e-07 1.045414440631720535e-07 1.036781112424406315e-07 -2.668621201767036422e-08 5.464523583083801753e-08 -2.363272843309587023e-08 -1.365223136570632404e-08 -1.388433449899548629e-08 3.470032813548508220e-08 -3.806051813383338052e-08 1.236244377080301144e-09 -8.097872416726561251e-08
-2.249068395546851786e-07 -2.114872696586372187e-07 -2.629177125469741062e-07 1.164571308664954518e-07 1.433035987428324313e-07 -1.524520733867010544e-07 -1.858537215747936578e-07 2.529174343846450400e-08 -1.079480285264182883e-07 -9.528511321257481184e-08 -5.756367791584841663e-08 -8.201063456366268190e-08
-4.434087898341275259e-07 2.915217372095885688e-08 2.406424603920563923e-07 -2.551121829019288483e-08 4.422223989542152478e-09 -1.110167284097209804e-07 -7.951883744967548796e-08 -8.135295105817057815e-08 -7.070959930044206074e-08 3.654026886732246447e-08 -1.099403432466875104e-08 5.049986657024445657e-08
6.886828346880493696e-07 1.600882249878743523e-08 2.377814707431591937e-07 3.602873671369693800e-08 2.056455534824668768e-07 -2.269975602895623134e-08 -1.479153963531434198e-08 -9.521449451769658483e-08 -3.772287983877010530e-09 2.659899905636047894e-09 3.051439672162042684e-08 4.324696545579249417e-08
-2.607757787092139310e-07 1.494052649259272089e-08 9.854818056752762024e-09 8.145281387092094873e-08 -1.093074431274178225e-07 -7.850390159685292299e-08 1.236459264782059140e-07 -6.555561855998795925e-08 -6.134277334407124764e-08 -1.396184373664986595e-07 -4.189969967775593199e-08 1.029202348841370398e-07
1.122578819867669623e-06 -3.715924920819485792e-07 -3.560924423194195905e-07 -5.543291016943834183e-08 -2.583277616304017584e-08 3.668087039080841643e-08 -1.127949319009292034e-07 4.012669033404787878e-09 -4.124126347772727672e-08 8.796997553988884949e-08 2.954440278078248580e-08 -6.400963368493203773e-08
